Date,AIB.IR,BIRG.IR,IRES.IR,CRH.IR,HRN.IR
2015-03-19,2.9317,6.262,1.8931,24.1382,1.1148
2015-03-20,2.9806,6.1659,1.9613,24.2915,1.1285
2015-03-23,2.9372,6.2139,1.929,23.8144,1.1146
2015-03-24,2.9219,6.076,1.948,23.736,1.1038
2015-03-25,2.9396,6.1617,1.9373,24.2049,1.09
2015-03-26,2.9909,6.0385,1.9586,24.1917,1.0913
2015-03-27,2.9663,6.0943,1.919,24.2512,1.0764
2015-03-30,2.9573,6.158,1.8857,24.4331,1.0673
2015-03-31,2.9003,6.0889,1.8658,24.8733,1.0579
2015-04-01,2.8398,6.1482,1.8681,24.2588,1.0546
2015-04-02,2.8812,6.1756,1.8518,24.4809,1.0349
2015-04-03,2.9508,6.1223,1.869,24.3894,1.0362
2015-04-06,2.9478,6.0224,1.8959,24.4586,1.0526
2015-04-07,3.0006,5.83,1.9119,24.8583,1.0545
2015-04-08,3.0205,5.8646,1.9551,24.4174,1.0751
2015-04-09,2.9868,5.7154,1.9667,24.0513,1.0933
2015-04-10,3.0066,5.7255,1.9339,23.3552,1.1042
2015-04-13,3.0889,5.7019,1.9707,23.1687,1.1053
2015-04-14,3.0877,5.7665,1.9545,23.6421,1.1058
2015-04-15,3.1736,5.7391,1.9795,23.6065,1.1166
2015-04-16,3.0277,5.7093,2.023,23.1357,1.1112
2015-04-17,3.0723,5.7788,2.0361,22.9731,1.085
2015-04-20,3.0778,5.8117,1.9942,22.4637,1.0918
2015-04-21,3.0623,5.8429,1.9691,22.0887,1.0764
2015-04-22,3.068,5.889,2.0055,22.2255,1.0635
2015-04-23,2.9611,5.7421,2.0012,21.8381,1.0636
2015-04-24,2.9504,5.8144,2.0037,22.2124,1.0624
2015-04-27,2.9697,5.8739,2.0251,22.1956,1.0437
2015-04-28,3.0478,5.7772,2.0449,22.2313,1.046
2015-04-29,3.0206,5.7553,2.0532,22.1448,1.0588
2015-04-30,2.9783,5.7527,2.0475,22.4106,1.0439
2015-05-01,2.9526,5.7412,2.039,22.6831,1.0608
2015-05-04,3.001,5.7737,2.0636,22.8052,1.04
2015-05-05,3.0191,5.9102,2.0797,23.0072,1.0679
2015-05-06,2.9916,6.0161,2.0726,22.9407,1.0625
2015-05-07,3.0194,5.888,2.104,23.136,1.0646
2015-05-08,3.0253,5.9491,2.1006,23.0252,1.0393
2015-05-11,3.0777,6.0798,2.0762,23.0333,1.0386
2015-05-12,3.0404,6.1195,2.0547,22.9449,1.0417
2015-05-13,3.0235,6.2301,2.0271,22.7936,1.0407
2015-05-14,3.0033,6.4367,2.0198,22.5634,1.0335
2015-05-15,2.9265,6.5459,2.0546,22.7301,1.0213
2015-05-18,2.9425,6.5739,2.032,23.1877,1.0359
2015-05-19,2.9567,6.6877,2.0377,23.6056,1.0365
2015-05-20,2.9577,6.7049,2.0194,23.1646,1.0567
2015-05-21,2.9462,6.7089,2.0125,23.6235,1.0498
2015-05-22,2.8733,6.6716,1.9707,23.5174,1.0442
2015-05-25,2.8527,6.8437,1.965,23.7384,1.0551
2015-05-26,2.8361,6.7534,1.96,23.4207,1.0336
2015-05-27,2.7967,6.9242,1.975,23.4784,1.0179
2015-05-28,2.7894,6.9823,1.9814,23.5972,1.0321
2015-05-29,2.8099,6.8236,1.9488,23.0751,1.017
2015-06-01,2.9041,6.8661,1.9784,23.2946,0.9938
2015-06-02,2.9137,6.6313,1.9845,23.776,1.0173
2015-06-03,2.9276,6.7005,1.9903,23.7208,0.9996
2015-06-04,2.9245,6.799,1.9903,24.2161,1.002
2015-06-05,2.8262,6.7344,1.9764,24.1544,1.003
2015-06-08,2.8256,6.7494,1.9826,24.4723,0.9676
2015-06-09,2.8292,6.9667,1.996,23.6592,0.9645
2015-06-10,2.9528,6.9104,1.948,24.5319,0.97
2015-06-11,2.9435,6.7919,1.9338,25.0943,0.9745
2015-06-12,2.9599,6.9581,1.9273,24.9943,0.9857
2015-06-15,2.9588,7.1831,1.9344,24.257,0.981
2015-06-16,2.8985,7.185,1.9667,24.3704,0.9899
2015-06-17,2.9576,7.3054,1.946,23.8461,0.9814
2015-06-18,2.9975,7.4674,1.9329,24.014,0.9641
2015-06-19,3.0401,7.3781,1.9194,24.1711,0.9485
2015-06-22,2.992,7.3209,1.8984,23.8347,0.9311
2015-06-23,3.0668,7.4699,1.8896,24.2462,0.9431
2015-06-24,2.9917,7.6776,1.9101,24.5492,0.9252
2015-06-25,3.0233,7.7499,1.8825,24.9192,0.9285
2015-06-26,3.1409,7.6397,1.8939,24.9305,0.9255
2015-06-29,3.0867,7.8899,1.8496,24.4048,0.9244
2015-06-30,3.0567,7.8228,1.8355,24.7734,0.9404
2015-07-01,3.0628,7.7814,1.8274,24.68,0.9353
2015-07-02,3.0363,7.8266,1.8701,24.1693,0.9426
2015-07-03,2.954,8.0274,1.8633,24.671,0.9432
2015-07-06,2.9582,8.1413,1.8067,25.4619,0.9415
2015-07-07,2.9035,8.1982,1.757,25.4541,0.9689
2015-07-08,2.9285,8.262,1.7581,26.2931,0.9514
2015-07-09,2.8817,8.2696,1.7733,26.3377,0.967
2015-07-10,2.9611,8.3468,1.7828,26.1946,0.9751
2015-07-13,2.9209,8.0026,1.7872,25.9532,0.9693
2015-07-14,2.905,7.9654,1.8163,26.6038,0.9893
2015-07-15,2.9474,7.9984,1.803,26.2985,0.9664
2015-07-16,2.8841,7.8492,1.8257,26.5991,0.9602
2015-07-17,2.8964,7.9004,1.7847,26.3827,0.9457
2015-07-20,2.9638,7.8756,1.7626,26.2075,0.9507
2015-07-21,2.8805,8.1036,1.7187,26.624,0.9375
2015-07-22,2.8906,8.3139,1.7124,26.4795,0.9427
2015-07-23,2.9045,8.2522,1.7116,26.3259,0.9406
2015-07-24,2.9453,8.2334,1.7146,26.7851,0.935
2015-07-27,2.8817,8.2251,1.7163,27.4405,0.9397
2015-07-28,2.8153,8.1659,1.6945,27.7166,0.9366
2015-07-29,2.8419,8.1936,1.6903,27.4511,0.9239
2015-07-30,2.8574,8.0934,1.6555,27.2479,0.9566
2015-07-31,2.8707,7.9452,1.6871,27.2894,0.9509
2015-08-03,2.889,8.0278,1.6802,27.4305,0.9244
2015-08-04,2.855,8.1121,1.6691,27.0295,0.9147
2015-08-05,2.8674,8.0069,1.7061,27.3336,0.9002
2015-08-06,2.8829,8.1259,1.677,27.3776,0.9097
2015-08-07,2.8472,8.0434,1.6511,26.6761,0.9135
2015-08-10,2.9416,8.0784,1.6263,26.31,0.9182
2015-08-11,2.9669,8.1885,1.625,26.1178,0.914
2015-08-12,2.9053,8.1856,1.635,26.0973,0.9109
2015-08-13,2.9396,8.2482,1.652,26.851,0.9068
2015-08-14,2.8898,8.1801,1.7112,26.9562,0.9059
2015-08-17,2.9306,8.1554,1.6581,26.6221,0.9156
2015-08-18,2.9912,8.1295,1.6724,26.7194,0.9196
2015-08-19,2.9486,8.0317,1.6597,26.5856,0.9255
2015-08-20,2.9994,8.0101,1.6465,26.7246,0.9314
2015-08-21,3.0219,7.8085,1.6326,26.9677,0.9419
2015-08-24,3.0665,7.7472,1.6123,27.4693,0.9454
2015-08-25,3.1698,7.7126,1.6502,27.4679,0.9498
2015-08-26,3.1568,7.6818,1.6697,28.1572,0.9642
2015-08-27,3.1156,7.6529,1.6705,28.5527,0.9562
2015-08-28,3.0675,7.6467,1.7021,28.2564,0.946
2015-08-31,3.0241,7.7083,1.6667,29.2094,0.932
2015-09-01,3.0207,7.8202,1.6362,29.3631,0.9342
2015-09-02,3.0396,7.7385,1.5871,29.0017,0.9125
2015-09-03,3.0551,7.5876,1.5719,29.7356,0.918
2015-09-04,3.1004,7.4596,1.5757,30.6791,0.9168
2015-09-07,3.1019,7.4015,1.5782,30.6736,0.93
2015-09-08,3.1821,7.3603,1.5817,30.4497,0.9223
2015-09-09,3.168,7.269,1.551,30.38,0.92
2015-09-10,3.3208,7.1161,1.5686,30.718,0.9331
2015-09-11,3.3582,7.0644,1.574,31.3212,0.9495
2015-09-14,3.3083,7.0868,1.5903,31.6013,0.9415
2015-09-15,3.2465,7.1572,1.5488,31.6599,0.9437
2015-09-16,3.275,7.0933,1.5557,32.387,0.9473
2015-09-17,3.2628,7.0467,1.5304,32.2441,0.9519
2015-09-18,3.3047,6.9412,1.5222,32.7569,0.9489
2015-09-21,3.3331,6.939,1.5337,32.6246,0.9643
2015-09-22,3.3296,6.8439,1.5359,32.8476,0.9415
2015-09-23,3.2806,6.9095,1.518,32.8016,0.9366
2015-09-24,3.1938,6.7088,1.5184,32.7843,0.942
2015-09-25,3.1694,6.6706,1.4864,32.6077,0.9475
2015-09-28,3.218,6.7048,1.5103,33.281,0.9638
2015-09-29,3.2309,6.7264,1.5062,32.9228,0.9784
2015-09-30,3.1607,7.0244,1.5298,32.5648,0.975
2015-10-01,3.1711,7.066,1.5189,33.6194,0.9911
2015-10-02,3.1934,6.9512,1.5081,34.1271,0.9823
2015-10-05,3.1444,6.9417,1.4924,32.9073,0.994
2015-10-06,3.1537,6.7412,1.5108,32.6365,1.0168
2015-10-07,3.1576,6.7336,1.4961,31.7528,1.0324
2015-10-08,3.0947,6.6431,1.5098,31.3065,1.0339
2015-10-09,3.115,6.744,1.502,29.8309,1.0297
2015-10-12,3.1466,6.6846,1.4611,29.7786,1.01
2015-10-13,3.2074,6.6731,1.4498,29.274,1.0141
2015-10-14,3.2678,6.605,1.4263,29.3098,1.0
2015-10-15,3.1892,6.7944,1.4272,28.599,0.9901
2015-10-16,3.1372,6.76,1.4039,28.6439,0.9754
2015-10-19,3.1664,6.9643,1.4221,28.4733,0.9698
2015-10-20,3.1959,7.0585,1.4206,29.1289,0.9696
2015-10-21,3.2257,7.1156,1.4173,29.7597,0.9731
2015-10-22,3.4456,7.16,1.4304,30.1225,0.9658
2015-10-23,3.4812,7.2076,1.4497,29.9833,0.9789
2015-10-26,3.5517,6.9815,1.4496,30.8928,0.9765
2015-10-27,3.6123,6.951,1.4343,30.1772,0.9669
2015-10-28,3.6547,7.0486,1.3993,29.5465,0.9698
2015-10-29,3.6352,7.0443,1.3862,29.5184,0.9939
2015-10-30,3.6848,6.8836,1.3745,30.5337,0.9982
2015-11-02,3.6354,6.8791,1.3768,30.45,0.9938
2015-11-03,3.6211,7.0724,1.3704,30.3753,0.9748
2015-11-04,3.5909,7.2183,1.3837,29.7228,0.9722
2015-11-05,3.597,7.2124,1.3722,30.1573,0.9752
2015-11-06,3.7447,7.3262,1.3713,30.6015,0.9705
2015-11-09,3.6223,7.2837,1.394,30.9762,0.9503
2015-11-10,3.667,7.0819,1.4009,30.6914,0.9402
2015-11-11,3.5635,6.976,1.3999,30.3732,0.9576
2015-11-12,3.5347,7.156,1.3885,29.7891,0.975
2015-11-13,3.6034,7.1253,1.3765,29.8363,0.9642
2015-11-16,3.6084,7.0983,1.3605,29.3584,0.9725
2015-11-17,3.5407,7.0649,1.3505,28.8451,0.9582
2015-11-18,3.4968,7.2866,1.3649,28.6695,0.9752
2015-11-19,3.5396,7.4821,1.3609,28.4666,0.9783
2015-11-20,3.4948,7.7555,1.3356,28.2441,0.9902
2015-11-23,3.509,7.7368,1.3686,28.4522,0.9689
2015-11-24,3.5127,7.7758,1.3749,28.4953,0.9773
2015-11-25,3.4731,7.5842,1.3483,28.3802,0.9773
2015-11-26,3.6053,7.7692,1.3402,28.4677,0.9879
2015-11-27,3.6465,7.6221,1.3425,28.05,0.9994
2015-11-30,3.5171,7.6507,1.3744,28.1036,1.0004
2015-12-01,3.5295,7.5147,1.3536,28.1765,0.9929
2015-12-02,3.4891,7.4437,1.3721,27.5451,1.0028
2015-12-03,3.5424,7.3431,1.3989,27.9685,1.0021
2015-12-04,3.4937,7.2715,1.3869,27.6047,0.9912
2015-12-07,3.4875,7.2087,1.3818,27.6512,0.9799
2015-12-08,3.5194,7.1454,1.3622,28.1467,0.9617
2015-12-09,3.574,7.2443,1.3586,28.5496,0.9557
2015-12-10,3.4992,7.1147,1.3581,28.5734,0.9691
2015-12-11,3.4793,7.1418,1.3707,28.4259,0.9714
2015-12-14,3.451,7.2857,1.3917,28.8421,0.965
2015-12-15,3.4121,7.2259,1.3775,29.1455,0.9749
2015-12-16,3.5191,7.1424,1.3401,28.8823,0.9648
2015-12-17,3.5451,7.1168,1.3399,28.5443,0.9661
2015-12-18,3.4671,7.2557,1.3456,27.6591,0.964
2015-12-21,3.5241,7.2802,1.3505,27.7323,0.9736
2015-12-22,3.6568,7.2183,1.3446,27.7064,0.9543
2015-12-23,3.7243,7.277,1.3471,28.1911,0.9442
2015-12-24,3.6254,7.147,1.3756,28.3531,0.9248
2015-12-25,3.5953,7.2282,1.3831,28.934,0.9219
2015-12-28,3.6765,7.278,1.3762,28.6382,0.9361
2015-12-29,3.6314,7.2428,1.3668,29.14,0.9303
2015-12-30,3.6607,7.1447,1.3638,28.9163,0.9244
2015-12-31,3.7116,7.0424,1.395,29.2654,0.9346
2016-01-01,3.6518,7.1055,1.3917,28.6293,0.9473
2016-01-04,3.6489,7.2499,1.3915,28.7401,0.9464
2016-01-05,3.4411,7.1757,1.3824,27.8869,0.9547
2016-01-06,3.3798,7.231,1.4037,27.7831,0.9418
2016-01-07,3.3655,6.9852,1.4421,27.9769,0.9583
2016-01-08,3.2922,6.9197,1.4513,27.7654,0.9844
2016-01-11,3.3878,6.9176,1.4532,27.3333,0.9909
2016-01-12,3.3032,6.8159,1.4542,27.6916,0.965
2016-01-13,3.2783,6.7127,1.4063,27.6571,0.9584
2016-01-14,3.2867,6.6406,1.4211,27.4612,0.9659
2016-01-15,3.371,6.6737,1.4239,27.4873,0.9609
2016-01-18,3.2864,6.6546,1.4326,28.5917,0.9764
2016-01-19,3.3546,6.4119,1.4187,29.0994,0.9837
2016-01-20,3.356,6.1905,1.4114,29.6201,0.9751
2016-01-21,3.2987,6.1302,1.4036,29.8246,0.9756
2016-01-22,3.3264,6.1774,1.4237,29.9091,0.9647
2016-01-25,3.3389,5.9006,1.4164,28.8351,0.9626
2016-01-26,3.3043,5.8535,1.4575,28.5483,0.956
2016-01-27,3.3092,5.8042,1.4665,28.3499,0.9703
2016-01-28,3.2875,5.9373,1.4408,27.5553,0.9963
2016-01-29,3.2948,5.9011,1.4384,27.0819,0.9784
2016-02-01,3.3341,5.9392,1.4257,26.2795,0.9548
2016-02-02,3.4282,5.9542,1.3825,26.2726,0.952
2016-02-03,3.3541,5.7476,1.4134,26.6061,0.9339
2016-02-04,3.4811,5.821,1.4274,27.0598,0.9345
2016-02-05,3.3621,5.8427,1.4382,27.2381,0.9435
2016-02-08,3.3539,5.8925,1.4417,26.85,0.9613
2016-02-09,3.3895,6.2726,1.4143,26.0742,0.9639
2016-02-10,3.4071,6.0597,1.4051,25.3899,0.9617
2016-02-11,3.3705,6.2321,1.4217,24.9109,0.9378
2016-02-12,3.3589,6.204,1.4012,24.584,0.9382
2016-02-15,3.3305,6.2344,1.3523,24.5325,0.9392
2016-02-16,3.2967,6.231,1.3482,24.1641,0.9469
2016-02-17,3.3469,6.189,1.3458,24.2956,0.9385
2016-02-18,3.3687,6.1324,1.3485,24.218,0.9335
2016-02-19,3.3284,6.1668,1.3624,24.2295,0.9162
2016-02-22,3.382,6.0147,1.3746,24.6549,0.8899
2016-02-23,3.4011,6.0899,1.3798,24.2228,0.8776
2016-02-24,3.4507,6.0496,1.4028,24.3839,0.8603
2016-02-25,3.4898,5.9388,1.3735,24.3864,0.864
2016-02-26,3.4396,5.8962,1.3833,24.2712,0.8585
2016-02-29,3.4065,6.0188,1.3956,24.6038,0.8528
2016-03-01,3.4522,5.9672,1.3718,24.9386,0.8423
2016-03-02,3.4902,6.0034,1.3435,24.5896,0.8081
2016-03-03,3.4897,5.9327,1.3298,24.5297,0.8236
2016-03-04,3.4978,6.0076,1.3178,24.6418,0.8133
2016-03-07,3.5774,6.0762,1.3318,24.5479,0.8092
2016-03-08,3.541,6.2614,1.3207,24.7728,0.7944
2016-03-09,3.576,6.2446,1.3052,24.886,0.8042
2016-03-10,3.5641,6.3142,1.2943,25.5834,0.8058
2016-03-11,3.5512,6.3256,1.3146,24.9996,0.7975
2016-03-14,3.6209,6.4612,1.3151,24.9613,0.7937
2016-03-15,3.6745,6.3864,1.312,24.6263,0.8105
2016-03-16,3.7281,6.4656,1.3102,24.8591,0.8099
2016-03-17,3.8148,6.4462,1.3339,24.2592,0.8081
2016-03-18,3.8171,6.4407,1.3202,24.3939,0.7986
2016-03-21,3.864,6.4517,1.3445,24.1693,0.7797
2016-03-22,3.8437,6.4796,1.3486,23.9087,0.7782
2016-03-23,3.8666,6.4686,1.3459,23.3934,0.7815
2016-03-24,3.8587,6.4926,1.3927,23.2364,0.7924
2016-03-25,3.8662,6.6617,1.3726,23.6247,0.77
2016-03-28,3.9077,6.7705,1.3661,23.6232,0.7592
2016-03-29,3.8522,6.8683,1.3429,23.8549,0.7537
2016-03-30,3.9953,6.8184,1.3609,24.4628,0.7538
2016-03-31,3.9254,6.7204,1.393,24.5681,0.7525
2016-04-01,3.8422,6.8269,1.4254,24.3684,0.7515
2016-04-04,3.9216,6.9262,1.4498,24.5483,0.7554
2016-04-05,3.9773,7.0947,1.4461,24.354,0.7469
2016-04-06,4.0221,7.0259,1.439,24.1761,0.7558
2016-04-07,4.0676,7.0009,1.4059,23.6282,0.76
2016-04-08,4.0677,6.8143,1.4458,23.9666,0.757
2016-04-11,4.0043,6.7718,1.4554,23.8343,0.7724
2016-04-12,4.0106,6.8837,1.4457,23.9075,0.7876
2016-04-13,3.9636,6.8325,1.4726,23.5406,0.797
2016-04-14,4.0328,6.9055,1.4529,23.7033,0.7668
2016-04-15,4.0233,6.8853,1.4614,23.4378,0.7821
2016-04-18,3.9656,6.9232,1.4581,23.395,0.79
2016-04-19,3.9441,6.7945,1.4712,23.7129,0.8101
2016-04-20,3.9738,6.8053,1.4702,24.0039,0.8228
2016-04-21,3.9352,6.4733,1.4408,24.0035,0.8393
2016-04-22,3.8791,6.4547,1.4426,23.3695,0.8487
2016-04-25,3.8967,6.2836,1.4638,24.4343,0.8632
2016-04-26,3.9144,6.409,1.4634,25.087,0.885
2016-04-27,3.8804,6.4919,1.4794,25.3691,0.8875
2016-04-28,3.849,6.5428,1.4582,25.0882,0.87
2016-04-29,3.8657,6.7071,1.4579,25.0531,0.8668
2016-05-02,3.7679,6.6042,1.4455,24.8553,0.8711
2016-05-03,3.6753,6.7945,1.4607,25.3381,0.872
2016-05-04,3.6296,6.8996,1.4615,25.4467,0.8585
2016-05-05,3.6168,6.8742,1.4757,25.1531,0.8409
2016-05-06,3.6374,7.0034,1.4982,24.982,0.8332
2016-05-09,3.733,6.8779,1.5128,25.4134,0.8417
2016-05-10,3.7903,6.7864,1.5188,26.0363,0.8586
2016-05-11,3.7805,6.7201,1.498,26.6461,0.8686
2016-05-12,3.7802,6.6632,1.4982,26.9596,0.8803
2016-05-13,3.7142,6.5492,1.4874,26.8652,0.8795
2016-05-16,3.7139,6.6817,1.4805,25.5571,0.8603
2016-05-17,3.6959,6.6547,1.4731,25.68,0.8555
2016-05-18,3.7178,6.6945,1.4533,25.6875,0.8528
2016-05-19,3.6644,6.6333,1.4141,25.75,0.8475
2016-05-20,3.6989,6.4368,1.4012,25.7792,0.8482
2016-05-23,3.7998,6.4665,1.4052,25.2704,0.853
2016-05-24,3.7934,6.2653,1.3792,25.4914,0.8623
2016-05-25,3.8211,6.2595,1.3797,25.7432,0.8594
2016-05-26,3.8686,6.1204,1.4163,26.0169,0.8389
2016-05-27,3.8421,6.3209,1.4366,26.3975,0.8339
2016-05-30,3.8582,6.4165,1.4695,26.6469,0.8344
2016-05-31,3.86,6.4289,1.4777,26.4902,0.8474
2016-06-01,3.8676,6.5632,1.5019,26.4703,0.8414
2016-06-02,3.8158,6.4735,1.487,26.5151,0.847
2016-06-03,3.8183,6.5324,1.474,26.5667,0.8502
2016-06-06,3.8528,6.5551,1.4183,26.9761,0.8507
2016-06-07,3.9523,6.5847,1.4418,27.2472,0.8608
2016-06-08,4.0201,6.7233,1.4728,28.1116,0.8537
2016-06-09,4.1737,6.8053,1.4617,29.0582,0.8477
2016-06-10,4.1182,6.8388,1.4568,29.1025,0.8476
2016-06-13,4.1826,6.6548,1.4418,27.4236,0.8409
2016-06-14,4.1971,6.5515,1.4497,27.9451,0.8464
2016-06-15,4.3602,6.5396,1.4726,27.7257,0.8389
2016-06-16,4.2991,6.5509,1.4372,27.3985,0.8414
2016-06-17,4.2364,6.4309,1.4456,27.2422,0.8404
2016-06-20,4.1927,6.6862,1.4403,27.0669,0.8428
2016-06-21,4.0366,6.8536,1.4428,27.326,0.838
2016-06-22,4.0001,6.9226,1.4522,26.6904,0.8345
2016-06-23,3.9475,6.9321,1.4486,26.264,0.8356
2016-06-24,3.9589,6.9094,1.4468,26.4086,0.8379
2016-06-27,3.9837,6.803,1.4427,26.6657,0.8379
2016-06-28,4.1165,6.813,1.4624,26.9328,0.856
2016-06-29,4.1865,6.8431,1.4711,26.6209,0.8454
2016-06-30,4.1449,6.7053,1.4758,26.2356,0.8448
2016-07-01,4.0802,6.7433,1.45,26.043,0.8282
2016-07-04,4.1166,6.7275,1.4427,26.1457,0.8322
2016-07-05,4.0217,6.5187,1.4609,26.7412,0.8206
2016-07-06,4.1526,6.4281,1.4619,25.9219,0.8178
2016-07-07,4.2399,6.3858,1.4754,25.8437,0.8141
2016-07-08,4.2059,6.5845,1.5118,25.3312,0.817
2016-07-11,4.0798,6.6458,1.5338,24.7065,0.8115
2016-07-12,4.1782,6.5018,1.536,25.0755,0.8055
2016-07-13,4.1707,6.5548,1.5254,25.2899,0.8201
2016-07-14,4.2628,6.39,1.4717,25.4698,0.8232
2016-07-15,4.1439,6.5046,1.4685,25.8325,0.8175
2016-07-18,4.1011,6.4557,1.4621,25.6534,0.815
2016-07-19,4.1024,6.4471,1.4702,25.4937,0.832
2016-07-20,4.1068,6.5884,1.4673,26.3443,0.8296
2016-07-21,4.0752,6.4508,1.461,26.2544,0.8225
2016-07-22,4.1209,6.3045,1.4252,26.5545,0.8155
2016-07-25,4.0443,6.2454,1.4069,26.5655,0.8099
2016-07-26,4.0351,6.3529,1.4164,25.8316,0.804
2016-07-27,4.0447,6.1961,1.4503,25.0413,0.7911
2016-07-28,4.0823,5.9099,1.4486,24.8301,0.78
2016-07-29,4.1345,5.8674,1.4554,25.2344,0.7719
2016-08-01,4.0535,5.9216,1.4748,25.5432,0.7778
2016-08-02,3.9448,6.0392,1.4585,25.9043,0.7741
2016-08-03,4.0346,5.9945,1.4661,25.5259,0.7722
2016-08-04,4.0592,5.9553,1.4513,26.1576,0.7847
2016-08-05,4.0066,6.0691,1.4689,25.7844,0.7976
2016-08-08,4.1172,5.8844,1.4723,25.8755,0.7948
2016-08-09,4.1266,5.8481,1.4786,25.8797,0.7886
2016-08-10,4.2134,5.8675,1.4628,25.8199,0.7801
2016-08-11,4.2194,5.9119,1.4773,26.3506,0.787
2016-08-12,4.3738,5.8637,1.5203,26.078,0.7851
2016-08-15,4.5102,5.8682,1.4993,25.5542,0.7813
2016-08-16,4.4915,5.6302,1.4924,25.5701,0.7734
2016-08-17,4.5695,5.5706,1.4975,25.4236,0.766
2016-08-18,4.6226,5.6131,1.514,26.7298,0.7692
2016-08-19,4.7353,5.5239,1.5025,27.0117,0.7565
2016-08-22,4.6559,5.5303,1.4438,26.8531,0.7661
2016-08-23,4.7133,5.5719,1.4712,26.4329,0.761
2016-08-24,4.8024,5.5417,1.4869,25.6899,0.7597
2016-08-25,4.6546,5.5583,1.4513,25.2998,0.747
2016-08-26,4.5586,5.4718,1.4393,25.3518,0.747
2016-08-29,4.3957,5.4543,1.4708,25.907,0.744
2016-08-30,4.3758,5.5099,1.5005,26.3545,0.7436
2016-08-31,4.4323,5.5252,1.5203,26.4542,0.7575
2016-09-01,4.5508,5.4732,1.5168,26.3333,0.7592
2016-09-02,4.5578,5.4944,1.5188,26.4487,0.7517
2016-09-05,4.6898,5.5598,1.5163,26.2497,0.7451
2016-09-06,4.5768,5.3742,1.5402,26.94,0.7508
2016-09-07,4.4403,5.4773,1.5218,26.8715,0.7631
2016-09-08,4.4371,5.4482,1.505,26.8449,0.7659
2016-09-09,4.4682,5.4873,1.5263,25.9542,0.7727
